iter	RMSE
0	77588.98397
1	76847.04765
2	76247.11504
3	75686.04581
4	75230.66439
5	74858.43497
6	74521.28187
7	74247.65432
8	74010.12668
9	73816.90209
10	73632.25948
11	73480.12211
12	73351.03053
13	73231.46825
14	73110.78155
15	73012.24004
16	72931.09076
17	72844.77735
18	72782.37046
19	72716.98626
20	72667.40508
21	72623.29813
22	72571.34498
23	72521.53438
24	72488.87622
25	72454.03084
26	72404.11392
27	72374.20967
28	72350.53617
29	72314.65787
30	72272.95515
31	72248.15259
32	72235.3053
33	72207.28561
34	72184.63683
35	72145.584
36	72122.23659
37	72092.11434
38	72072.35135
39	72034.82918
40	71997.52691
41	71961.7505
42	71934.58317
43	71914.22019
44	71889.44371
45	71861.65588
46	71832.63476
47	71825.35371
48	71799.35834
49	71771.74564
50	71724.11472
51	71688.77218
52	71667.41087
53	71647.46284
54	71631.1063
55	71625.00673
56	71597.4213
57	71579.32263
58	71562.08722
59	71533.5429
60	71513.44715
61	71500.74312
62	71485.7871
63	71471.98439
64	71462.37436
65	71455.97266
66	71417.84767
67	71411.0385
68	71404.31214
69	71354.36065
70	71317.94328
71	71311.53208
72	71299.30859
73	71277.79942
74	71265.27805
75	71260.28976
76	71254.39293
77	71228.89089
78	71218.60753
79	71202.65472
80	71193.0518
81	71149.96917
82	71136.07283
83	71121.55582
84	71094.18412
85	71068.8333
86	71065.01966
87	71039.81899
88	71021.3347
89	70999.02503
90	70978.09271
91	70964.57433
92	70936.5521
93	70920.74115
94	70917.61042
95	70885.86838
96	70874.22412
97	70856.32231
98	70823.26926
99	70805.29065
100	70787.97681
101	70760.20614
102	70733.18381
103	70722.43755
104	70694.60319
105	70687.86623
106	70654.81413
107	70635.96542
108	70581.59629
109	70573.41182
110	70551.6376
111	70536.99206
112	70526.16649
113	70504.04234
114	70481.2716
115	70441.37326
116	70419.19151
117	70395.31629
118	70384.01519
119	70343.10512
120	70308.72849
121	70284.48597
122	70263.13704
123	70251.20286
124	70228.8076
125	70220.05536
126	70191.7038
127	70183.28928
128	70169.58611
129	70144.50369
130	70123.55395
131	70071.51689
132	70059.06394
133	70041.53979
134	70026.08074
135	70010.47294
136	69973.76387
137	69966.47463
138	69959.97226
139	69945.58863
140	69933.40637
141	69923.49605
142	69907.8816
143	69883.40421
144	69867.35266
145	69860.61165
146	69855.84305
147	69846.61888
148	69827.87931
149	69816.1156
150	69801.56271
151	69741.08935
152	69738.44665
153	69736.0036
154	69725.67727
155	69718.46916
156	69707.36535
157	69691.23555
158	69634.33799
159	69618.84625
160	69602.83171
161	69588.91254
162	69536.05196
163	69529.69076
164	69504.02817
165	69483.45699
166	69463.2453
167	69444.22841
168	69426.01797
169	69408.8694
170	69392.56642
171	69376.95793
172	69362.14877
173	69348.17186
174	69334.80848
175	69322.1755
176	69310.11333
177	69298.70902
178	69287.86708
179	69277.51047
180	69267.67628
181	69258.58508
182	69249.70871
183	69241.23371
184	69233.14331
185	69225.51173
186	69218.20573
187	69205.97563
188	69192.54445
189	69175.84948
190	69168.95056
191	69162.39465
192	69144.5287
193	69127.47257
194	69056.66886
195	69044.90819
196	69030.95477
197	69024.67194
198	69011.64826
199	68994.46792
200	68988.52271
201	68977.38993
202	68971.7126
203	68893.45442
204	68883.28936
205	68871.95886
206	68850.2066
207	68837.72283
208	68826.72544
209	68814.60458
210	68805.71594
211	68779.37796
212	68767.3818
213	68752.81629
214	68740.17548
215	68668.47956
216	68663.07825
217	68634.08774
218	68620.67878
219	68614.32324
