iter	Passed	Remaining
0	4	4332
1	8	4163
2	12	4152
3	16	4218
4	21	4255
5	25	4234
6	29	4213
7	34	4239
8	38	4269
9	43	4282
10	47	4272
11	52	4294
12	56	4283
13	60	4282
14	65	4273
15	69	4276
16	73	4278
17	78	4266
18	82	4256
19	86	4246
20	91	4249
21	95	4252
22	99	4231
23	103	4220
24	107	4211
25	112	4207
26	116	4196
27	120	4183
28	124	4165
29	128	4146
30	132	4132
31	136	4119
32	140	4115
33	144	4115
34	149	4116
35	153	4107
36	157	4107
37	162	4103
38	166	4092
39	170	4085
40	174	4079
41	178	4076
42	182	4066
43	187	4065
44	191	4061
45	195	4059
46	200	4061
47	204	4055
48	208	4051
49	212	4043
50	216	4031
51	220	4024
52	224	4019
53	229	4012
54	233	4007
55	237	3997
56	241	3987
57	245	3982
58	249	3972
59	252	3962
60	256	3954
61	260	3945
62	265	3943
63	269	3935
64	273	3929
65	276	3919
66	280	3907
67	284	3900
68	288	3893
69	292	3887
70	296	3879
71	300	3876
72	304	3873
73	308	3863
74	312	3856
75	316	3851
76	320	3842
77	324	3834
78	328	3828
79	332	3821
80	336	3822
81	341	3817
82	345	3815
83	349	3810
84	353	3805
85	357	3795
86	361	3790
87	365	3787
88	369	3781
89	373	3774
90	377	3770
91	381	3766
92	385	3758
93	389	3755
94	393	3749
95	397	3742
96	401	3735
97	405	3730
98	409	3723
99	413	3719
100	417	3713
101	420	3705
102	424	3700
103	428	3694
104	432	3688
105	436	3682
106	440	3675
107	444	3669
108	448	3664
109	452	3659
110	456	3653
111	460	3651
112	464	3645
113	468	3639
114	472	3634
115	476	3628
116	479	3621
117	483	3616
118	487	3612
119	492	3612
120	496	3607
121	500	3602
122	504	3597
123	508	3592
124	513	3592
125	517	3587
126	521	3582
127	525	3577
128	529	3572
129	532	3565
130	536	3558
131	540	3553
132	544	3547
133	548	3543
134	552	3538
135	556	3533
136	560	3529
137	563	3522
138	567	3516
139	571	3511
140	575	3508
141	579	3502
142	583	3498
143	587	3493
144	591	3490
145	595	3484
146	599	3478
147	603	3474
148	607	3470
149	611	3465
150	615	3461
151	619	3455
152	623	3449
153	627	3447
154	631	3444
155	635	3440
156	639	3435
157	643	3430
158	647	3425
159	651	3420
160	655	3417
161	659	3411
162	663	3405
163	666	3399
164	671	3396
165	675	3392
166	678	3385
167	682	3381
168	686	3376
169	690	3372
170	694	3368
171	698	3362
172	702	3358
173	706	3352
174	710	3347
175	714	3345
176	718	3340
177	722	3336
178	726	3331
179	730	3328
180	734	3324
181	738	3319
182	742	3316
183	746	3311
184	750	3306
185	754	3301
186	758	3297
187	762	3292
188	766	3287
189	770	3282
190	773	3276
191	777	3271
192	781	3267
193	785	3263
194	789	3258
195	793	3254
196	797	3250
197	801	3246
198	805	3241
199	809	3238
200	813	3235
201	817	3230
202	821	3225
203	826	3223
204	829	3218
205	833	3213
206	837	3209
207	841	3205
208	845	3201
209	849	3197
210	853	3192
211	857	3188
212	861	3183
213	865	3179
214	869	3174
215	873	3169
216	877	3166
217	881	3161
218	885	3156
219	888	3151
220	892	3146
221	896	3142
222	900	3138
223	904	3134
224	908	3129
225	912	3124
226	916	3120
227	920	3116
228	924	3111
229	928	3107
230	932	3103
231	935	3098
232	940	3094
233	943	3089
234	947	3084
235	951	3081
236	955	3076
237	959	3072
238	963	3067
239	967	3064
240	972	3061
241	976	3057
242	979	3052
243	983	3048
244	987	3043
245	991	3039
246	995	3036
247	999	3031
248	1003	3027
249	1008	3025
250	1012	3021
251	1016	3016
252	1020	3012
253	1024	3007
254	1027	3003
255	1031	2998
256	1035	2994
257	1039	2990
258	1043	2985
259	1047	2982
260	1051	2977
261	1055	2973
262	1059	2968
263	1063	2964
264	1067	2959
265	1071	2956
266	1075	2951
267	1079	2949
268	1083	2944
269	1087	2940
270	1091	2936
271	1095	2932
272	1099	2928
273	1103	2923
274	1107	2919
275	1111	2915
276	1115	2911
277	1119	2906
278	1123	2903
279	1127	2898
280	1131	2895
281	1135	2890
282	1139	2885
283	1142	2881
284	1146	2876
285	1150	2872
286	1154	2868
287	1158	2864
288	1162	2859
289	1166	2855
290	1170	2850
291	1174	2846
292	1177	2842
293	1181	2837
294	1185	2834
295	1189	2829
296	1194	2826
297	1197	2821
298	1201	2817
299	1205	2813
300	1209	2809
301	1214	2805
302	1217	2801
303	1221	2796
304	1225	2792
305	1229	2788
306	1233	2783
307	1237	2779
308	1240	2775
309	1244	2771
310	1248	2766
311	1252	2762
312	1256	2757
313	1260	2753
314	1264	2749
315	1268	2745
316	1272	2741
317	1276	2737
318	1280	2734
319	1284	2730
320	1288	2726
321	1292	2721
322	1296	2717
323	1300	2713
324	1304	2709
325	1308	2705
326	1312	2701
327	1316	2697
328	1320	2692
329	1324	2689
330	1328	2684
331	1332	2681
332	1336	2677
333	1340	2673
334	1344	2669
335	1348	2665
336	1352	2661
337	1356	2657
338	1360	2653
339	1364	2649
340	1368	2645
341	1372	2641
342	1376	2636
343	1380	2632
344	1384	2628
345	1388	2624
346	1392	2620
347	1396	2615
348	1400	2611
349	1404	2607
350	1407	2603
351	1411	2598
352	1415	2595
353	1419	2591
354	1423	2586
355	1427	2582
356	1431	2578
357	1435	2574
358	1439	2570
359	1443	2566
360	1447	2562
361	1451	2558
362	1455	2554
363	1459	2550
364	1463	2546
365	1467	2542
366	1471	2538
367	1475	2534
368	1479	2530
369	1483	2526
370	1487	2522
371	1491	2517
372	1495	2513
373	1499	2510
374	1503	2506
375	1507	2502
376	1511	2498
377	1515	2493
378	1519	2490
379	1523	2486
380	1527	2481
381	1531	2477
382	1535	2473
383	1539	2469
384	1543	2466
385	1547	2461
386	1551	2457
387	1555	2453
388	1559	2449
389	1563	2445
390	1567	2441
391	1571	2437
392	1575	2433
393	1580	2430
394	1583	2425
395	1587	2421
396	1592	2418
397	1596	2414
398	1600	2410
399	1604	2406
400	1608	2402
401	1612	2398
402	1616	2394
403	1620	2389
404	1623	2385
405	1627	2381
406	1631	2377
407	1635	2373
408	1639	2368
409	1643	2364
410	1647	2360
411	1651	2356
412	1655	2352
413	1659	2348
414	1663	2344
415	1667	2340
416	1670	2336
417	1675	2332
418	1679	2328
419	1684	2325
420	1688	2322
421	1693	2319
422	1697	2315
423	1702	2312
424	1706	2309
425	1710	2305
426	1715	2301
427	1719	2297
428	1723	2293
429	1727	2290
430	1732	2286
431	1736	2282
432	1740	2278
433	1743	2274
434	1747	2270
435	1751	2266
436	1755	2261
437	1759	2257
438	1763	2253
439	1767	2249
440	1771	2245
441	1775	2242
442	1779	2237
443	1783	2233
444	1788	2230
445	1792	2226
446	1796	2222
447	1800	2218
448	1804	2214
449	1808	2210
450	1812	2206
451	1816	2202
452	1820	2198
453	1824	2194
454	1828	2190
455	1833	2186
456	1836	2182
457	1840	2178
458	1844	2174
459	1848	2170
460	1852	2166
461	1856	2162
462	1861	2158
463	1864	2154
464	1868	2150
465	1872	2146
466	1876	2142
467	1880	2138
468	1884	2133
469	1888	2129
470	1893	2126
471	1897	2122
472	1901	2118
473	1905	2114
474	1909	2110
475	1913	2106
476	1917	2102
477	1922	2099
478	1926	2095
479	1929	2090
480	1933	2086
481	1937	2082
482	1941	2078
483	1945	2074
484	1949	2070
485	1953	2066
486	1957	2062
487	1961	2058
488	1965	2053
489	1969	2050
490	1973	2045
491	1977	2041
492	1981	2037
493	1984	2033
494	1988	2029
495	1992	2025
496	1996	2020
497	2000	2016
498	2004	2012
499	2008	2008
500	2012	2004
501	2016	2000
502	2020	1996
503	2024	1992
504	2028	1988
505	2032	1984
506	2036	1979
507	2040	1975
508	2044	1972
509	2048	1968
510	2052	1964
511	2056	1960
512	2060	1955
513	2064	1951
514	2068	1948
515	2072	1943
516	2076	1939
517	2080	1935
518	2084	1931
519	2087	1927
520	2091	1923
521	2095	1919
522	2099	1914
523	2103	1910
524	2107	1906
525	2111	1903
526	2115	1898
527	2119	1894
528	2123	1890
529	2127	1886
530	2131	1882
531	2135	1879
532	2139	1874
533	2144	1870
534	2147	1866
535	2152	1863
536	2156	1859
537	2160	1854
538	2163	1850
539	2167	1846
540	2171	1842
541	2176	1838
542	2179	1834
543	2184	1830
544	2187	1826
545	2192	1822
546	2196	1818
547	2200	1814
548	2204	1810
549	2207	1806
550	2211	1802
551	2215	1798
552	2220	1794
553	2224	1791
554	2228	1786
555	2232	1782
556	2236	1778
557	2240	1774
558	2244	1770
559	2248	1766
560	2252	1762
561	2256	1758
562	2260	1754
563	2264	1750
564	2268	1746
565	2272	1742
566	2276	1738
567	2280	1734
568	2284	1730
569	2288	1726
570	2292	1722
571	2296	1718
572	2300	1714
573	2304	1710
574	2308	1706
575	2312	1702
576	2316	1698
577	2320	1694
578	2324	1689
579	2328	1686
580	2332	1681
581	2336	1677
582	2339	1673
583	2343	1669
584	2348	1665
585	2352	1661
586	2356	1658
587	2360	1654
588	2364	1649
589	2368	1646
590	2372	1642
591	2376	1638
592	2380	1634
593	2384	1629
594	2388	1625
595	2392	1621
596	2396	1617
597	2400	1613
598	2404	1609
599	2408	1605
600	2412	1601
601	2416	1597
602	2420	1593
603	2424	1589
604	2428	1585
605	2432	1581
606	2436	1577
607	2440	1573
608	2445	1569
609	2449	1565
610	2453	1561
611	2457	1557
612	2461	1553
613	2465	1549
614	2469	1545
615	2473	1541
616	2477	1537
617	2481	1533
618	2486	1530
619	2490	1526
620	2494	1522
621	2498	1518
622	2502	1514
623	2506	1510
624	2510	1506
625	2514	1502
626	2518	1498
627	2522	1494
628	2526	1490
629	2531	1486
630	2535	1482
631	2539	1478
632	2543	1474
633	2547	1470
634	2551	1466
635	2555	1462
636	2559	1458
637	2563	1454
638	2567	1450
639	2571	1446
640	2576	1442
641	2580	1438
642	2584	1434
643	2588	1430
644	2592	1426
645	2595	1422
646	2599	1418
647	2604	1414
648	2608	1410
649	2612	1406
650	2616	1402
651	2620	1398
652	2624	1394
653	2628	1390
654	2632	1386
655	2636	1382
656	2640	1378
657	2644	1374
658	2648	1370
659	2652	1366
660	2656	1362
661	2660	1358
662	2664	1354
663	2668	1350
664	2672	1346
665	2676	1342
666	2680	1338
667	2684	1334
668	2688	1330
669	2692	1326
670	2696	1322
671	2700	1318
672	2704	1314
673	2708	1309
674	2712	1306
675	2716	1302
676	2720	1298
677	2724	1293
678	2728	1289
679	2732	1285
680	2736	1281
681	2740	1277
682	2744	1273
683	2748	1269
684	2752	1265
685	2755	1261
686	2759	1257
687	2763	1253
688	2767	1249
689	2771	1245
690	2776	1241
691	2780	1237
692	2783	1233
693	2787	1229
694	2791	1225
695	2795	1221
696	2799	1216
697	2803	1212
698	2807	1208
699	2811	1204
700	2815	1200
701	2819	1196
702	2823	1192
703	2827	1188
704	2831	1184
705	2835	1180
706	2839	1176
707	2843	1172
708	2847	1168
709	2851	1164
710	2855	1160
711	2859	1156
712	2863	1152
713	2867	1148
714	2871	1144
715	2875	1140
716	2879	1136
717	2883	1132
718	2887	1128
719	2891	1124
720	2895	1120
721	2900	1116
722	2904	1112
723	2908	1108
724	2912	1104
725	2916	1100
726	2920	1096
727	2924	1092
728	2928	1088
729	2932	1084
730	2936	1080
731	2941	1076
732	2945	1072
733	2949	1068
734	2953	1064
735	2958	1061
736	2962	1057
737	2966	1053
738	2970	1049
739	2974	1044
740	2978	1040
741	2982	1036
742	2986	1032
743	2989	1028
744	2993	1024
745	2997	1020
746	3001	1016
747	3005	1012
